Uniform Crime Reporting Statistics - UCR Data Online,,
http://www.ucrdatatool.gov/,,
    ,,
Estimated violent crime total,,
Year,United States-Total,
1960,288460,
1961,289390,
1962,301510,
1963,316970,
1964,364220,
1965,387390,
1966,430180,
1967,499930,
1968,595010,
1969,661870,
1970,738820,
1971,816500,
1972,834900,
1973,875910,
1974,974720,
1975,1039710,
1976,1004210,
1977,1029580,
1978,1085550,
1979,1208030,
1980,1344520,
1981,1361820,
1982,1322390,
1983,1258087,
1984,1273282,
1985,1327767,
1986,1489169,
1987,1483999,
1988,1566221,
1989,1646037,
1990,1820127,
1991,1911767,
1992,1932274,
1993,1926017,
1994,1857670,
1995,1798792,
1996,1688540,
1997,1636096,
1998,1533887,
1999,1426044,
2000,1425486,
2001,1439480,
2002,1423677,
2003,1383676,
2004,1360088,
2005,1390745,
2006,1435123,
2007,1422970,
2008,1394461,
2009,1325896,
2010,1251248,
2011,1206031,
2012,1217067,
2013,1199684,
2014,1197987,
,,
"		",,
"		","1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as ""Forcible"" rape.  See UCR Offense Definitions for further information.",
"		",,
"		",2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.,
"		",,
"		",,
"		",Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 ,,
 ,,
,,United States-Total - 
 ,,
,,The 168 murder and nonnegligent homicides that occurred as a result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City in 1995 are included in the national estimate. 
,,"The 2,823 murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, are not included in the national estimates. "
,,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",,
Date of download: Nov 12 2018,,
